id,runtime,budget,revenue,film_id
2955,1h 36 min,,,2955
2956,1h 57 min,"$130,000,000","$519,311,965",2956
2957,2h 20 min,"$115,000,000","$378,900,000",2957
2958,1h 41 min,"$8,000,000","$41,400,000",2958
2959,2h 11 min,"$16,000,000","$15,234,907",2959
2960,0h 31 min,,,2960
2961,1h 32 min,"$75,000,000","$18,500,000",2961
2962,2h 12 min,"$25,300,000","$18,878,646",2962
2963,2h 23 min,"$200,000,000","$726,229,501",2963
2964,2h 16 min,"$65,000,000","$93,600,000",2964
2965,2h 3 min,"$3,352,254","$36,734,619",2965
2966,1h 42 min,"$2,500,000","$4,700,000",2966
2967,1h 45 min,,,2967
2968,1h 37 min,,"$299,200",2968
2969,1h 42 min,"$12,000,000","$180,089,109",2969
2970,1h 18 min,,,2970
2971,1h 40 min,,,2971
2972,1h 54 min,"$12,000,000","$124,600,000",2972
2973,2h 9 min,"$105,000,000","$121,214,377",2973
2974,2h 5 min,"$2,000,000","$64,036,702",2974
2975,1h 52 min,,"$3,009,621",2975
2976,1h 38 min,"$275,000","$110,248",2976
2977,1h 51 min,"$25,000,000","$2,800,000",2977
2978,2h 16 min,"$21,000,000","$24,571",2978
2979,1h 39 min,"$8,000,000","$3,432,342",2979
2980,2h 12 min,"$6,000,000","$1,509,000",2980
2981,1h 52 min,"$8,000,000","$18,948,425",2981
2982,1h 35 min,"$400,000","$60,000,000",2982
2983,2h 1 min,"$30,000,000","$238,539,198",2983
2984,1h 41 min,"$5,000,000","$8,791,590",2984
2985,2h 15 min,"$28,000,000","$64,400,000",2985
2986,1h 37 min,,,2986
2987,1h 39 min,"$6,000,000","$50,244,700",2987
2988,1h 55 min,"$2,000,000","$78,900,000",2988
2989,1h 43 min,"$900,000","$528,428",2989
2990,1h 59 min,"$6,000,000","$33,300,000",2990
2991,2h 1 min,"$30,000,000","$14,793,385",2991
2992,1h 14 min,,,2992
2993,2h 13 min,"$4,550,000","$21,300,000",2993
2994,1h 35 min,,,2994
2995,1h 58 min,"$34,000,000","$50,283,563",2995
2996,1h 47 min,"$60,000,000",,2996
2997,1h 38 min,"$10,000,000","$53,800,000",2997
2998,1h 40 min,"$12,000,000","$55,260,558",2998
2999,2h 49 min,"$9,100,000","$37,707,444",2999
3000,2h 27 min,"$48,000,000","$207,500,000",3000
3001,1h 41 min,"$45,000,000","$90,683,916",3001
3002,1h 55 min,"$6,875,270",,3002
3003,1h 39 min,"$14,000,000","$21,800,000",3003
3004,2h 17 min,"$80,000,000","$69,633,110",3004
3005,1h 40 min,"$7,000,000","$20,000,000",3005
3006,2h 14 min,,,3006
3007,1h 21 min,"$3,000,000","$10,000,000",3007
3008,1h 55 min,,"$1,063,893",3008
3009,1h 47 min,"$12,500,000","$11,826,980",3009
3010,1h 45 min,,"$4,354,510",3010
3011,2h 0 min,,,3011
3012,1h 33 min,"$5,650,000","$13,700,000",3012
3013,2h 10 min,"$10,000,000","$32,613,173",3013
3014,1h 32 min,,,3014
3015,2h 12 min,"$25,000,000","$42,972,994",3015
3016,2h 10 min,,,3016
3017,2h 20 min,"$40,000,000","$13,280,000",3017
3018,1h 39 min,"$3,500,000","$4,100,000",3018
3019,2h 12 min,"$55,000,000","$94,182,533",3019
3020,1h 52 min,,"$26,000,000",3020
3021,1h 33 min,"$90,000,000","$28,600,000",3021
3022,1h 55 min,"$26,000,000","$55,404,207",3022
3023,1h 23 min,"$800,000","$4,812,444",3023
3024,1h 36 min,"$1,200,000","$19,400,000",3024
3025,1h 44 min,"$2,500,000","$6,400,000",3025
3026,2h 12 min,"$55,000,000","$94,182,533",3026
3027,2h 29 min,,,3027
3028,1h 35 min,"$6,000,000","$57,600,000",3028
3029,0h 25 min,,,3029
3030,2h 27 min,"$4,000,000","$43,498,108",3030
3031,1h 45 min,,"$11,500,000",3031
3032,1h 50 min,"$15,000,000","$356,830,601",3032
3033,2h 18 min,,,3033
3034,1h 56 min,"$10,000,000","$3,428,048",3034
3035,1h 45 min,"$475,000","$1,100,000",3035
3036,1h 36 min,"$7,500,000","$232,372,681",3036
3037,1h 26 min,"$900,000","$2,023,414",3037
3038,1h 34 min,"$6,000,000","$29,180,280",3038
3039,1h 32 min,"$30,000,000","$202,231,360",3039
3040,1h 44 min,,,3040
3041,2h 13 min,"$45,000,000","$50,548,152",3041
3042,1h 30 min,"$16,000,000",,3042
3043,1h 35 min,,"$3,200,000",3043
3044,2h 10 min,,"$22,036,607",3044
3045,2h 5 min,"$18,000,000",,3045
3046,2h 21 min,"$87,000,000","$148,300,000",3046
3047,2h 5 min,"$9,000,000","$37,121,708",3047
3048,1h 41 min,"$26,000,000","$102,278,712",3048
3049,2h 18 min,"$150,000,000","$738,599,701",3049
3050,2h 24 min,"$50,000,000","$59,800,000",3050
3051,2h 2 min,,"$101,068",3051
3052,1h 36 min,,"$2,093,725",3052
3053,1h 34 min,"$40,500,000","$2,200,000",3053
3054,1h 31 min,,,3054
3055,1h 38 min,"$33,000,000","$244,721,064",3055
3056,0h 11 min,,,3056
3057,1h 52 min,"$30,000,000","$102,800,000",3057
3058,1h 52 min,"$3,000,000","$11,700,000",3058
3059,1h 40 min,"$30,000,000","$191,502,426",3059
3060,1h 55 min,"$150,000,000","$475,000,000",3060
3061,1h 33 min,,,3061
3062,1h 48 min,"$25,000,000","$46,333,545",3062
3063,1h 55 min,"$5,000,000","$20,311",3063
3064,1h 49 min,"$16,000,000","$21,657,770",3064
3065,1h 14 min,"$14,000,000","$38,600,000",3065
3066,1h 57 min,"$8,731,048","$36,000,000",3066
3067,1h 38 min,,"$37,552,144",3067
3068,1h 40 min,"$16,000,000","$20,036,737",3068
3069,1h 56 min,,"$9,458,590",3069
3070,1h 27 min,,,3070
3071,1h 28 min,,,3071
3072,1h 53 min,"$1,500,000","$700,000",3072
3073,1h 44 min,"$1,800,000","$12,000,000",3073
3074,2h 21 min,"$70,000,000","$105,713,218",3074
3075,1h 59 min,"$4,000,000","$15,700,000",3075
3076,1h 46 min,,"$3,002,884",3076
3077,2h 11 min,"$6,500,000","$12,376,563",3077
3078,1h 29 min,,,3078
3079,1h 35 min,"$1,050,000",,3079
3080,1h 56 min,"$5,800,000","$11,500,000",3080
3081,1h 48 min,"$3,500,000","$24,593,103",3081
3082,1h 37 min,"$15,000,000","$16,000,000",3082
3083,2h 6 min,"$20,000,000","$29,667,169",3083
3084,1h 34 min,"$25,000,000","$138,241,022",3084
3085,1h 30 min,,,3085
3086,1h 47 min,"$13,500,000","$29,027,914",3086
3087,2h 22 min,"$8,000,000","$26,126,837",3087
3088,1h 47 min,"$20,000,000","$5,400,000",3088
3089,2h 26 min,"$100,000,000","$235,926,552",3089
3090,1h 44 min,"$4,000,000","$5,169,755",3090
3091,1h 35 min,,,3091
3092,1h 14 min,"$2,900,000","$263,600,000",3092
3093,2h 5 min,"$30,000,000","$41,500,000",3093
3094,1h 41 min,"$3,500,000","$34,000,000",3094
3095,2h 39 min,"$30,000,000","$14,711,793",3095
3096,1h 46 min,"$2,412,000",,3096
3097,1h 21 min,,"$21,626",3097
3098,2h 51 min,"$12,000,000","$20,101,247",3098
3099,1h 36 min,"$28,000,000","$51,663,767",3099
3100,2h 12 min,"$90,000,000","$250,649,836",3100
3101,2h 0 min,"$8,000,000",,3101
3102,1h 47 min,,"$7,299,662",3102
3103,1h 37 min,"$200,000,000","$1,028,600,000",3103
3104,1h 44 min,"$200,000,000","$743,600,000",3104
3105,2h 7 min,"$15,200,000","$9,138,503",3105
3106,1h 59 min,"$14,500,000","$30,300,000",3106
3107,2h 19 min,"$80,000,000","$245,700,000",3107
3108,1h 43 min,,"$1,535,558",3108
3109,1h 46 min,"$2,500,000",,3109
3110,1h 46 min,"$116,000,000",,3110
3111,2h 6 min,"$24,000,000","$88,500,000",3111
3112,2h 7 min,"$5,000,000","$28,200,000",3112
3113,1h 43 min,"$1,000,000","$13,350,369",3113
3114,2h 20 min,"$7,075,038","$9,868,942",3114
3115,1h 14 min,,,3115
3116,0h 2 min,,,3116
3117,2h 1 min,,"$2,975,184",3117
3118,2h 10 min,"$50,000,000","$214,200,000",3118
3119,1h 50 min,"$20,000,000","$84,426,031",3119
3120,2h 0 min,"$5,000,000","$3,741,098",3120
3121,1h 39 min,"$40,000,000","$114,830,111",3121
3122,1h 54 min,"$13,000,000","$75,511,123",3122
3123,2h 13 min,"$110,000,000","$407,711,549",3123
3124,4h 11 min,"$44,000,000","$71,000,000",3124
3125,1h 41 min,"$16,000,000","$18,564,088",3125
3126,2h 7 min,,,3126
3127,1h 59 min,"$8,000,000","$275,000",3127
3128,2h 51 min,"$12,000,000","$20,101,247",3128
3129,2h 3 min,"$35,000,000","$168,961,389",3129
3130,1h 45 min,"$34,000,000","$41,142,379",3130
3131,1h 40 min,,"$13,400,000",3131
3132,1h 41 min,,"$100,730,000",3132
3133,1h 55 min,"$15,000,000","$7,900,000",3133
3134,1h 31 min,"$150,000,000","$665,692,281",3134
3135,2h 14 min,"$30,000,000","$8,454,301",3135
3136,1h 7 min,,,3136
3137,2h 20 min,"$17,000,000","$47,919,757",3137
3138,1h 32 min,"$1,500,000","$65,000,000",3138
3139,1h 38 min,,"$1,000,000",3139
3140,1h 50 min,"$777,000","$140,000,000",3140
3141,1h 38 min,,"$1,000,000",3141
3142,1h 48 min,"$19,000,000","$25,800,000",3142
3143,1h 50 min,"$5,000,000","$59,256,423",3143
3144,1h 42 min,,,3144
3145,2h 1 min,"$3,000,000","$10,700,000",3145
3146,1h 53 min,"$1,683,000","$5,086,000",3146
3147,2h 2 min,,"$11,750,000",3147
3148,1h 59 min,"$31,000,000","$185,300,000",3148
3149,2h 1 min,"$15,000,000","$12,036,149",3149
3150,2h 7 min,,,3150
3151,1h 41 min,,,3151
3152,1h 47 min,"$9,000,000","$24,922,237",3152
3153,2h 3 min,"$12,000,000","$43,440,294",3153
3154,1h 44 min,,,3154
3155,2h 7 min,"$110,000,000","$299,300,000",3155
3156,1h 44 min,"$2,300,000","$10,000,000",3156
3157,1h 57 min,"$20,000,000","$17,900,000",3157
3158,1h 42 min,"$6,000,000","$24,849,029",3158
3159,1h 44 min,,"$1,880,736",3159
3160,1h 21 min,,,3160
3161,1h 31 min,"$2,500,000","$3,200,000",3161
3162,1h 36 min,"$11,000,000",,3162
3163,1h 24 min,"$10,000,000","$10,237,061",3163
3164,2h 12 min,"$60,000,000","$76,100,000",3164
3165,1h 57 min,,"$7,900,000",3165
3166,2h 25 min,"$80,000,000","$34,566,746",3166
3167,2h 5 min,"$10,000,000","$25,200,000",3167
3168,1h 42 min,"$13,000,000","$18,704,595",3168
3169,1h 27 min,"$30,000,000","$140,161,792",3169
3170,1h 54 min,,,3170
3171,1h 36 min,"$19,000,000","$85,241,496",3171
3172,1h 46 min,"$1,100,000","$6,200,000",3172
3173,2h 15 min,"$40,000,000","$45,916,769",3173
3174,2h 1 min,"$20,000,000","$18,432,000",3174
3175,1h 52 min,"$18,000,000","$47,088,990",3175
3176,3h 6 min,"$9,100,000","$76,000,000",3176
3177,2h 35 min,"$36,000,000","$44,229,441",3177
3178,2h 4 min,"$78,000,000","$209,196,298",3178
3179,2h 8 min,,"$2,196,991",3179
3180,1h 33 min,"$185,000,000","$539,000,000",3180
3181,0h 4 min,,"$123,967",3181
3182,1h 57 min,"$4,500,000","$3,764,219",3182
3183,1h 31 min,"$1,261,569",,3183
3184,1h 41 min,,,3184
3185,2h 0 min,,,3185
3186,1h 52 min,,,3186
3187,1h 29 min,"$3,800,000","$20,100,000",3187
3188,0h 9 min,,,3188
3189,2h 10 min,"$2,100,000","$2,000,000",3189
3190,0h 6 min,,,3190
3191,1h 37 min,,,3191
3192,2h 0 min,,,3192
3193,1h 45 min,"$36,000,000","$157,000,000",3193
3194,1h 55 min,"$15,000,000","$52,501,541",3194
3195,1h 40 min,"$455,000",,3195
3196,1h 44 min,"$2,000,000","$5,048,693",3196
3197,1h 54 min,"$1,707,561","$7,566,000",3197
3198,2h 12 min,,,3198
3199,2h 9 min,"$3,800,000","$1,681,545",3199
3200,1h 48 min,,,3200
3201,1h 43 min,"$10,000,000","$20,766,616",3201
3202,0h 12 min,,,3202
3203,1h 38 min,"$7,500,000","$9,600,000",3203
3204,1h 55 min,,"$5,013,090",3204
3205,3h 0 min,"$15,000,000","$4,304,157",3205
3206,1h 57 min,"$31,000,000","$41,100,000",3206
3207,1h 45 min,,"$9,027,600",3207
3208,1h 34 min,"$3,850,000","$4,230,854",3208
3209,2h 15 min,"$5,000,000","$13,269,963",3209
3210,1h 51 min,,,3210
3211,1h 35 min,"$120,000,000","$186,053,725",3211
3212,2h 3 min,"$4,500,000","$1,500,000",3212
3213,2h 6 min,"$35,000,000","$57,300,000",3213
3214,1h 59 min,,"$77,676,735",3214
3215,1h 54 min,"$25,000,000","$227,900,000",3215
3216,1h 51 min,,,3216
3217,1h 12 min,"$3,500,000",,3217
3218,1h 55 min,,,3218
3219,1h 29 min,"$9,900,000","$159,100,000",3219
3220,2h 13 min,"$30,000,000","$24,200,000",3220
3221,1h 38 min,,"$23,202,734",3221
3222,1h 43 min,,,3222
3223,1h 44 min,,,3223
3224,1h 36 min,"$1,000,000","$2,019,469",3224
3225,1h 40 min,,,3225
3226,2h 5 min,"$9,500,000","$14,569,027",3226
3227,2h 17 min,"$35,000,000","$2,200,000",3227
3228,1h 41 min,,,3228
3229,1h 47 min,"$13,000,000","$24,600,000",3229
3230,1h 21 min,,"$7,000,000",3230
3231,1h 10 min,"$858,000","$267,447,150",3231
3232,1h 27 min,"$75,000,000","$527,068,851",3232
3233,1h 53 min,,,3233
3234,1h 46 min,,,3234
3235,1h 45 min,"$30,000,000","$57,800,000",3235
3236,2h 45 min,"$14,000,000","$116,000,000",3236
3237,2h 11 min,"$20,000,000","$21,013,738",3237
3238,2h 11 min,,"$7,230,000",3238
3239,2h 25 min,"$14,000,000","$161,001,698",3239
3240,1h 33 min,"$1,500,000","$1,400,000",3240
3241,1h 51 min,"$32,000,000","$27,635,305",3241
3242,2h 4 min,"$7,500,000","$129,795,554",3242
3243,1h 57 min,"$7,950,000",,3243
3244,1h 56 min,"$50,000,000","$179,769,467",3244
3245,1h 54 min,"$145,000,000","$1,445,638,421",3245
3246,2h 9 min,,"$29,650,385",3246
3247,2h 12 min,"$80,000,000","$367,799,011",3247
3248,0h 10 min,"$5,000",,3248
3249,2h 0 min,"$15,000,000","$8,620,929",3249
3250,2h 1 min,"$12,000,000","$22,900,000",3250
3251,1h 53 min,"$27,000,000","$96,888,996",3251
3252,1h 43 min,"$10,000,000",,3252
3253,1h 31 min,,,3253
3254,1h 42 min,"$10,000,000","$6,999,027",3254
3255,1h 44 min,"$75,000,000","$296,339,527",3255
3256,1h 31 min,"$3,500,000","$257,850,122",3256
3257,2h 1 min,"$55,000,000","$196,567,262",3257
3258,2h 36 min,"$100,000,000","$76,016,171",3258
3259,1h 39 min,"$70,000,000","$623,190",3259
3260,1h 35 min,"$2,000,000","$92,654",3260
3261,1h 44 min,"$75,000,000","$296,339,527",3261
3262,2h 0 min,"$40,000,000","$120,455,994",3262
3263,1h 56 min,"$62,000,000","$65,565,672",3263
3264,1h 46 min,"$50,000,000","$104,088,441",3264
3265,2h 36 min,"$100,000,000","$76,016,171",3265
3266,1h 58 min,"$25,000,000","$11,790,979",3266
3267,1h 25 min,"$1,200,000","$2,600,000",3267
3268,1h 33 min,"$1,000,000",,3268
3269,1h 53 min,"$5,635,000","$6,981,000",3269
3270,1h 55 min,"$16,000,000","$2,641,357",3270
3271,1h 43 min,"$17,000,000","$182,100,000",3271
3272,1h 50 min,,"$5,786,368",3272
3273,1h 34 min,"$6,000,000","$2,944,752",3273
3274,1h 4 min,"$812,000","$1,600,000",3274
3275,1h 38 min,"$3,000,000",,3275
3276,1h 55 min,"$17,200,000","$23,800,000",3276
3277,1h 44 min,,,3277
3278,1h 45 min,"$30,000,000","$82,148,538",3278
3279,2h 9 min,"$4,422,952","$67,126,795",3279
3280,2h 4 min,"$140,000,000","$370,569,774",3280
3281,2h 4 min,"$140,000,000","$370,569,774",3281
3282,1h 58 min,,,3282
3283,1h 53 min,"$3,500,000","$3,988,612",3283
3284,1h 24 min,,,3284
3285,1h 50 min,"$17,759,769","$43,306,325",3285
3286,1h 34 min,"$700,000","$3,000,000",3286
3287,1h 30 min,"$2,023,920",,3287
3288,1h 58 min,"$11,930,000","$25,003,426",3288
3289,1h 32 min,"$532,673","$3,000,000",3289
3290,1h 23 min,,,3290
3291,2h 25 min,"$42,000,000","$7,959,291",3291
3292,1h 36 min,"$130,000,000","$321,885,765",3292
3293,1h 32 min,"$2,600,000","$553,198",3293
3294,3h 5 min,"$19,000,000","$13,680,000",3294
3295,1h 39 min,"$3,000,000",,3295
3296,1h 12 min,"$3,500,000",,3296
3297,0h 22 min,,,3297
3298,2h 2 min,"$20,000,000","$77,912,251",3298
3299,1h 30 min,,,3299
3300,1h 48 min,"$5,210,000","$9,700,000",3300
3301,1h 22 min,"$12,000,000","$27,909",3301
3302,1h 12 min,"$350,000",,3302
3303,1h 38 min,"$14,000,000","$154,856,263",3303
3304,1h 46 min,"$6,000,000","$9,524,340",3304
3305,2h 30 min,"$60,000,000","$39,629,195",3305
3306,1h 44 min,"$15,000,000","$110,216,998",3306
3307,1h 39 min,"$18,000,000","$99,200,000",3307
3308,1h 35 min,,,3308
3309,1h 33 min,"$2,500,000","$19,800,000",3309
3310,2h 8 min,,"$28,814,580",3310
3311,2h 3 min,,,3311
3312,1h 55 min,"$4,000,000","$641,100",3312
3313,2h 44 min,"$15,000,000","$50,000,000",3313
3314,1h 54 min,"$7,000,000","$49,327,405",3314
3315,1h 36 min,"$6,000,000","$19,560,274",3315
3316,1h 42 min,,,3316
3317,2h 3 min,"$35,000,000","$61,181,942",3317
3318,1h 52 min,"$1,814,462",,3318
3319,1h 59 min,"$30,000,000","$8,484,418",3319
3320,2h 37 min,"$40,000,000","$132,800,000",3320
3321,1h 59 min,"$35,000,000","$76,000,000",3321
3322,1h 50 min,"$80,000,000","$457,696,391",3322
3323,1h 50 min,"$1,000,000","$59,000,000",3323
3324,1h 20 min,,,3324
3325,1h 15 min,,,3325
3326,2h 37 min,"$40,000,000","$132,800,000",3326
3327,2h 5 min,"$2,500,000","$3,000,000",3327
3328,1h 33 min,,"$119,815,153",3328
3329,1h 42 min,,,3329
3330,1h 30 min,"$60,000,000","$107,139,399",3330
3331,2h 9 min,"$25,000,000","$82,500,000",3331
3332,1h 28 min,"$12,000,000","$53,400,000",3332
3333,0h 5 min,,,3333
3334,0h 55 min,,,3334
3335,1h 36 min,"$1,490,000","$22,468,044",3335
3336,1h 51 min,"$18,000,000","$20,275,812",3336
3337,2h 9 min,"$8,000,000","$18,124,262",3337
3338,0h 48 min,,"$16,331,742",3338
3339,1h 18 min,"$18,000,000","$35,348,597",3339
3340,1h 57 min,"$3,000,000","$20,966,644",3340
3341,0h 48 min,,"$16,331,742",3341
3342,1h 18 min,"$18,000,000","$35,348,597",3342
3343,1h 39 min,"$23,000,000","$179,519,401",3343
3344,1h 51 min,"$70,000,000","$297,718,711",3344
3345,1h 36 min,,"$1,076,075",3345
3346,1h 46 min,"$10,000,000","$28,900,000",3346
3347,1h 51 min,"$9,500,000","$30,900,000",3347
3348,2h 8 min,"$40,000,000","$177,000,000",3348
3349,1h 51 min,,,3349
3350,1h 32 min,"$230,000","$2,300,000",3350
3351,2h 33 min,"$10,000,000","$37,400,000",3351
3352,1h 45 min,"$7,600,000","$12,000,000",3352
3353,2h 19 min,"$34,000,000","$32,255,440",3353
3354,1h 46 min,"$38,000,000","$207,283,925",3354
3355,1h 29 min,"$19,700,000","$30,000,000",3355
3356,1h 51 min,"$60,000,000","$49,000,000",3356
3357,1h 39 min,,,3357
3358,1h 48 min,"$52,000,000","$609,841,637",3358
3359,2h 2 min,"$17,000,000","$9,500,000",3359
3360,2h 0 min,"$11,000,000","$88,489,643",3360
3361,1h 57 min,"$120,000,000","$461,983,149",3361
3362,1h 58 min,,"$1,396,905",3362
3363,1h 49 min,"$2,700,000","$141,000,000",3363
3364,1h 49 min,"$5,000,000","$3,049,135",3364
3365,1h 49 min,"$25,000,000","$67,900,000",3365
3366,1h 49 min,,"$123,821",3366
3367,1h 31 min,"$15,000,000","$9,995,168",3367
3368,2h 23 min,"$31,000,000","$106,300,000",3368
3369,1h 43 min,"$18,000,000","$76,987,621",3369
3370,1h 35 min,"$1,203,235","$1,090,116",3370
3371,1h 49 min,,,3371
3372,2h 6 min,"$23,000,000","$4,311,284",3372
3373,2h 1 min,"$85,000,000",,3373
3374,2h 7 min,"$70,000,000","$39,457,342",3374
3375,1h 57 min,"$3,000,000","$20,966,644",3375
3376,1h 7 min,"$55,500",,3376
3377,1h 30 min,"$60,000,000","$80,767,884",3377
3378,1h 10 min,"$180,000",,3378
3379,1h 45 min,,,3379
3380,1h 45 min,"$5,000,000","$3,300,000",3380
3381,1h 45 min,"$25,000,000","$56,012,642",3381
3382,2h 9 min,"$40,000,000","$55,200,000",3382
3383,1h 14 min,"$80,000,000","$60,655,420",3383
3384,1h 29 min,"$5,000,000",,3384
3385,2h 12 min,,,3385
3386,2h 1 min,"$27,500,000","$31,843,086",3386
3387,1h 55 min,,,3387
3388,2h 13 min,"$40,000,000","$33,276,075",3388
3389,2h 42 min,"$10,000,000",,3389
3390,1h 53 min,,,3390
3391,1h 20 min,"$2,181,579",,3391
3392,1h 42 min,"$8,000,000","$6,491,240",3392
3393,1h 35 min,"$80,000,000","$363,258,859",3393
3394,2h 1 min,"$30,000,000","$44,516,999",3394
3395,0h 6 min,,,3395
3396,1h 50 min,"$965,000",,3396
3397,2h 1 min,"$25,000,000","$152,500,000",3397
3398,2h 9 min,"$160,000,000","$1,266,115,964",3398
3399,1h 49 min,"$40,000,000","$173,900,000",3399
3400,1h 38 min,"$10,000,000","$24,400,000",3400
3401,2h 20 min,"$15,000,000","$47,135,966",3401
3402,2h 9 min,"$22,000,000",,3402
3403,1h 56 min,"$3,500,000","$81,600,000",3403
3404,1h 56 min,"$20,000,000","$256,067,149",3404
3405,2h 12 min,"$10,000,000",,3405
3406,1h 25 min,"$25,000,000","$106,209,378",3406
3407,1h 32 min,,,3407
3408,1h 40 min,"$9,000,000","$6,800,000",3408
3409,2h 0 min,,"$449,753",3409
3410,1h 32 min,"$3,500,000","$40,423,945",3410
3411,1h 40 min,"$11,000,000","$17,400,000",3411
3412,1h 39 min,"$3,500,000","$57,130,027",3412
3413,2h 19 min,"$50,000,000","$273,600,000",3413
3414,1h 53 min,"$35,000,000","$145,374,099",3414
3415,2h 21 min,"$104,000,000","$410,900,000",3415
3416,1h 53 min,"$9,000,000","$24,058,838",3416
3417,1h 35 min,,"$10,968,212",3417
3418,1h 41 min,,"$1,657,449",3418
3419,1h 41 min,,"$7,034,007",3419
3420,2h 29 min,"$24,000,000","$33,208,099",3420
3421,2h 24 min,"$130,000,000","$218,100,001",3421
3422,1h 33 min,,,3422
3423,1h 45 min,"$200,000,000","$226,400,000",3423
3424,1h 38 min,"$5,000,000","$16,373,843",3424
3425,2h 2 min,,"$5,524,381",3425
3426,1h 43 min,,,3426
3427,1h 58 min,"$38,000,000","$12,700,000",3427
3428,1h 52 min,"$20,000,000","$8,654,322",3428
3429,1h 39 min,"$44,000,000","$48,200,000",3429
3430,1h 52 min,,,3430
3431,1h 43 min,"$1,400,000","$3,500,000",3431
3432,1h 30 min,,,3432
3433,1h 51 min,"$11,000,000","$22,600,000",3433
3434,1h 31 min,,,3434
3435,1h 45 min,"$22,000,000",,3435
3436,1h 29 min,"$10,000,000","$10,389,003",3436
3437,1h 43 min,"$80,000,000",,3437
3438,1h 46 min,"$7,000,000","$7,736,632",3438
3439,2h 3 min,"$3,000,000","$5,900,000",3439
3440,1h 52 min,"$1,800,000","$21,000,000",3440
3441,1h 43 min,"$80,000,000",,3441
3442,1h 46 min,"$7,000,000","$7,736,632",3442
3443,2h 3 min,"$3,000,000","$5,900,000",3443
3444,1h 52 min,"$1,800,000","$21,000,000",3444
3445,1h 34 min,"$10,000,000","$2,494,480",3445
3446,1h 45 min,,,3446
3447,2h 3 min,,,3447
3448,0h 5 min,,,3448
3449,1h 31 min,"$85,000,000","$358,375,603",3449
3450,2h 10 min,"$36,000,000","$20,300,385",3450
3451,2h 7 min,"$75,000,000",,3451
3452,2h 1 min,"$10,000,000","$34,578,510",3452
3453,1h 34 min,"$6,000,000","$16,200,000",3453
3454,1h 45 min,"$10,000,000","$6,451,628",3454
3455,2h 5 min,,,3455
3456,1h 36 min,"$10,000,000",,3456
3457,1h 26 min,"$80,000,000","$429,434,163",3457
3458,1h 37 min,"$3,900,000","$6,200,000",3458
3459,1h 55 min,"$37,000,000","$165,335,153",3459
3460,1h 34 min,"$47,000,000","$48,919,043",3460
3461,1h 47 min,"$25,000,000","$51,000,000",3461
3462,1h 49 min,,"$24,565",3462
3463,1h 50 min,,,3463
3464,2h 0 min,,,3464
3465,1h 55 min,"$37,000,000","$165,335,153",3465
3466,1h 47 min,"$36,000,000","$52,424,533",3466
3467,1h 54 min,"$18,000,000","$25,740,863",3467
3468,1h 55 min,,,3468
3469,1h 47 min,,,3469
3470,1h 24 min,"$24,000,000","$57,333,324",3470
3471,2h 9 min,"$200,000,000","$454,023",3471
3472,1h 55 min,,,3472
3473,1h 42 min,,"$2,300,000",3473
3474,2h 13 min,"$23,000,000","$32,192,570",3474
3475,1h 47 min,"$50,000,000","$34,800,000",3475
3476,1h 37 min,"$15,000,000","$64,256,513",3476
3477,1h 57 min,"$40,000,000",,3477
3478,2h 3 min,,,3478
3479,1h 41 min,"$1,200,000","$24,741,667",3479
3480,1h 43 min,"$15,000,000","$123,384,128",3480
3481,1h 54 min,,"$3,467,232",3481
3482,2h 0 min,,"$365,000",3482
3483,1h 37 min,,"$7,589,829",3483
3484,2h 3 min,"$155,000,000","$369,590,675",3484
3485,1h 18 min,"$30,000",,3485
3486,3h 17 min,"$9,400,000","$60,000,000",3486
3487,1h 35 min,"$100,000,000","$26,565,710",3487
3488,1h 55 min,,,3488
3489,1h 29 min,,,3489
3490,1h 49 min,"$37,000,000","$113,100,000",3490
3491,1h 55 min,,,3491
3492,1h 41 min,"$1,200,000","$24,741,667",3492
3493,1h 30 min,"$50,000","$24,963",3493
3494,2h 4 min,"$70,000,000","$240,031,094",3494
3495,1h 36 min,"$4,300,000","$126,700,000",3495
3496,1h 21 min,,,3496
3497,1h 13 min,,,3497
3498,2h 6 min,"$46,630,000","$8,083,123",3498
3499,1h 35 min,"$58,000,000","$102,900,000",3499
3500,1h 39 min,"$220,000","$46,585",3500
3501,1h 55 min,"$120,000,000","$347,234,916",3501
3502,1h 51 min,,,3502
3503,2h 1 min,"$8,000,000","$2,400,000",3503
3504,2h 1 min,,,3504
3505,1h 56 min,"$110,000,000","$303,144,152",3505
3506,2h 11 min,"$10,000,000","$35,600,000",3506
3507,1h 38 min,"$6,000,000","$5,844,868",3507
3508,1h 36 min,"$15,000,000","$146,700,000",3508
3509,1h 52 min,"$1,000,000","$15,440,333",3509
3510,2h 12 min,"$3,440,000","$10,000,000",3510
3511,1h 27 min,,,3511
3512,2h 9 min,"$1,250,000","$36,182,181",3512
3513,1h 43 min,"$1,500,000","$100,106,454",3513
3514,2h 16 min,,,3514
3515,1h 15 min,"$6,000,000","$51,600,000",3515
3516,2h 5 min,"$10,000,000","$7,177,143",3516
3517,1h 34 min,"$3,000,000","$9,879,971",3517
3518,1h 35 min,"$2,700,000",,3518
3519,1h 45 min,,,3519
3520,1h 40 min,"$22,000,000","$51,695,362",3520
3521,1h 45 min,,,3521
3522,1h 57 min,"$18,000,000","$42,100,000",3522
3523,2h 2 min,"$38,000,000","$117,094,902",3523
