id,director,top_billed,budget_usd,revenue_usd
2922,Sylvester Stallone,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Brigitte Nielsen",31000000,300500000
2923,Graham Moore,"Mark Rylance, Zoey Deutch, Johnny Flynn, Dylan O'Brien, Simon Russell Beale",5000000,4000000
2924,Paul Greengrass,"Jonas Strand Gravli, Anders Danielsen Lie, Jon Øigarden, Seda Witt, Ola G. Furuseth",20000000,
2925,Todd Kessler,"Elisabeth Harnois, Jesse McCartney, Ignacio Serricchio, Margo Harshman, Michael McGrady",,
2926,Steven Zaillian,"Max Pomeranc, Joe Mantegna, Joan Allen, Ben Kingsley, Laurence Fishburne",12000000,7266383
2927,Kim Jee-woon,"Lim Soo-jung, Moon Geun-young, Yum Jung-ah, Kim Kap-soo, Park Mi-hyun",15100000,1100000
2928,D.W. Griffith,"Lillian Gish, Mae Marsh, Robert Harron, F.A. Turner, Sam De Grasse",385907,1750000
2929,F. Gary Gray,"Samuel L. Jackson, Kevin Spacey, David Morse, Ron Rifkin, John Spencer",50000000,44547681
2930,Richard Linklater,"Jack Black, Joan Cusack, Mike White, Sarah Silverman, Miranda Cosgrove",35000000,131100000
2931,Rupert Julian,"Lon Chaney, Norman Kerry, Mary Philbin, Arthur Edmund Carewe, Gibson Gowland",,2000000
2932,Martin Scorsese,"Harvey Keitel, Robert De Niro, David Proval, Richard Romanus, Amy Robinson",500000,3000000
2933,Thurop Van Orman,"Jason Sudeikis, Josh Gad, Danny McBride, Leslie Jones, Bill Hader",65000000,137792047
2934,Louis Leterrier,"Vin Diesel, Michelle Rodriguez, Tyrese Gibson, Ludacris, John Cena",340000000,704709660
2935,Rick Famuyiwa,"Shameik Moore, Zoë Kravitz, AAP Rocky, Kiersey Clemons, Tony Revolori",7000000,17986781
2936,Mélanie Laurent,"Joséphine Japy, Lou de Laâge, Isabelle Carré, Roxane Duran, Claire Keim",,
2937,Kim Ki-duk,"Cho Min-soo, Lee Jung-jin, Woo Ki-hong, Kang Eun-jin, Heo Joon-seok",103000,6616296
2938,Derek Cianfrance,"Michael Fassbender, Alicia Vikander, Rachel Weisz, Bryan Brown, Jack Thompson",20000000,25975621
2939,Paul Haggis,"Russell Crowe, Elizabeth Banks, Brian Dennehy, RZA, Moran Atias",30000000,67448651
2940,Alfred Hitchcock,"Montgomery Clift, Anne Baxter, Karl Malden, Brian Aherne, O.E. Hasse",,
2941,Terry Zwigoff,"Thora Birch, Scarlett Johansson, Steve Buscemi, Brad Renfro, Illeana Douglas",7000000,8800000
2942,Joel Schumacher,"Jason Patric, Corey Haim, Dianne Wiest, Barnard Hughes, Edward Herrmann",8500000,32222567
2943,Neill Blomkamp,"Sigourney Weaver, Eugene Khumbanyiwa, Robert Hobbs, Carly Pope, Brandon Auret",,
2944,Gavin O'Connor,"Ben Affleck, Cynthia Addai-Robinson, Anna Kendrick, J.K. Simmons, Jon Bernthal",44000000,155160045
2945,Quentin Dupieux,"Alain Chabat, Jonathan Lambert, Élodie Bouchez, Kyla Kenedy, Eric Wareheim",,423619
2946,Luc Dardenne,"Cécile de France, Thomas Doret, Jérémie Renier, Fabrizio Rongione, Olivier Gourmet",,
2947,George Clooney,"David Strathairn, Patricia Clarkson, George Clooney, Jeff Daniels, Robert Downey Jr.",7000000,54600000
2948,Todd Field,"Kate Winslet, Patrick Wilson, Jennifer Connelly, Gregg Edelman, Sadie Goldstein",26000000,14821658
2949,Mervyn LeRoy,"Robert Taylor, Deborah Kerr, Leo Genn, Peter Ustinov, Patricia Laffan",7623000,21037000
2950,David Anspaugh,"Gene Hackman, Barbara Hershey, Dennis Hopper, Sheb Wooley, Fern Persons",9000000,28600000
2951,Klim Shipenko,"Vladimir Vdovichenkov, Pavel Derevyanko, Aleksandr Samoylenko, Vitaliy Khaev, Oksana Fandera",15000000,13767037
2952,John Krokidas,"Daniel Radcliffe, Dane DeHaan, Michael C. Hall, Jack Huston, Ben Foster",5600000,1600000
2953,Frank Oz,"Steve Martin, Michael Caine, Glenne Headly, Anton Rodgers, Barbara Harris",6500000,42000000
2954,George Miller,"Nick Nolte, Susan Sarandon, Peter Ustinov, Ann Hearn, Maduka Steady",30000000,7300000
2955,Jeff Bleckner,"Alexis Bledel, Zachary Levi, Merritt Wever, Barry Shabaka Henley, Valerie Azlynn",,
2956,Peyton Reed,"Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll, Bobby Cannavale",130000000,519311965
2957,James Cameron,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton, Tia Carrere",115000000,378900000
2958,Niki Caro,"Keisha Castle-Hughes, Rawiri Paratene, Vicky Haughton, Cliff Curtis, Grant Roa",8000000,41400000
2959,Luca Guadagnino,"Taylor Russell, Timothée Chalamet, Mark Rylance, Anna Cobb, André Holland",16000000,15234907
2960,Brandon Vietti,"Bruce Greenwood, Vincent Martella, John DiMaggio, Zehra Fazal, Gary Cole",,
2961,Jennifer Kluska,"Brian Hull, Selena Gomez, Andy Samberg, Kathryn Hahn, Jim Gaffigan",75000000,18500000
2962,Roman Polanski,"Jean Dujardin, Louis Garrel, Emmanuelle Seigner, Grégory Gadebois, Hervé Pierre",25300000,18878646
2963,Justin Lin,"Vin Diesel, Michelle Rodriguez, Tyrese Gibson, Ludacris, John Cena",200000000,726229501
2964,Peter Jackson,"Saoirse Ronan, Mark Wahlberg, Rachel Weisz, Susan Sarandon, Stanley Tucci",65000000,93600000
2965,Sam Peckinpah,"Steve McQueen, Ali MacGraw, Ben Johnson, Sally Struthers, Al Lettieri",3352254,36734619
2966,Gus Van Sant,"Matt Dillon, Kelly Lynch, James Remar, James Le Gros, Heather Graham",2500000,4700000
2967,Massimo Venier,"Aldo Baglio, Giovanni Storti, Giacomo Poretti, Aldo Maccione, Antonio Catania",,
2968,James Merendino,"Matthew Lillard, Michael A. Goorjian, Annabeth Gish, Jennifer Lien, Christopher McDonald",,299200
2969,Gerard Johnstone,"Allison Williams, Violet McGraw, Ronny Chieng, Amie Donald, Jenna Davis",12000000,180089109
2970,Robert Hughes,"Vincent Martella, Thomas Brodie-Sangster, Dee Bradley Baker, Ashley Tisdale, Dan Povenmire",,
2971,Wong Kar-wai,"Leslie Cheung, Tony Leung Ka-fai, Brigitte Lin, Jacky Cheung Hok-Yau, Tony Leung Chiu-wai",,
2972,John Badham,"Matthew Broderick, Dabney Coleman, John Wood, Ally Sheedy, Barry Corbin",12000000,124600000
2973,Paul Verhoeven,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey, Neil Patrick Harris",105000000,121214377
2974,Damien Leone,"Lauren LaVera, Elliott Fullam, David Howard Thornton, Samantha Scaffidi, Margaret Anne Florence",2000000,64036702
2975,Paolo Virzì,"Helen Mirren, Donald Sutherland, Christian McKay, Janel Moloney, Dana Ivey",,3009621
2976,Yorgos Lanthimos,"Christos Stergioglou, Michele Valley, Hristos Passalis, Angeliki Papoulia, Mary Tsoni",275000,110248
2977,Joel Coen,"Tim Robbins, Jennifer Jason Leigh, Paul Newman, Charles Durning, John Mahoney",25000000,2800000
2978,Jo Sung-hee,"Song Joong-ki, Kim Tae-ri, Yoo Hai-jin, Jin Sun-kyu, Richard Armitage",21000000,24571
2979,Denys Arcand,"Rémy Girard, Stéphane Rousseau, Marie-Josée Croze, Dorothée Berryman, Louise Portal",8000000,3432342
2980,Sam Peckinpah,"James Coburn, Maximilian Schell, James Mason, David Warner, Klaus Löwitsch",6000000,1509000
2981,Doug Atchison,"Keke Palmer, Laurence Fishburne, Angela Bassett, Curtis Armstrong, J.R. Villarreal",8000000,18948425
2982,Dennis Hopper,"Peter Fonda, Dennis Hopper, Jack Nicholson, Antonio Mendoza, Phil Spector",400000,60000000
2983,Jon M. Chu,"Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan, Lisa Lu",30000000,238539198
2984,Jaume Balagueró,"Luis Tosar, Marta Etura, Alberto San Juan, Petra Martínez, Iris Almeida",5000000,8791590
2985,Gavin O'Connor,"Kurt Russell, Patricia Clarkson, Nathan West, Noah Emmerich, Sean McCann",28000000,64400000
2986,Martyn Burke,"Noah Wyle, Anthony Michael Hall, Joey Slotnick, J.G. Hertzler, Wayne Pére",,
2987,John Carpenter,"Kurt Russell, Lee Van Cleef, Ernest Borgnine, Donald Pleasence, Isaac Hayes",6000000,50244700
2988,Terence Young,"Sean Connery, Daniela Bianchi, Pedro Armendáriz, Robert Shaw, Lotte Lenya",2000000,78900000
2989,Jean-Luc Godard,"Brigitte Bardot, Michel Piccoli, Jack Palance, Giorgia Moll, Fritz Lang",900000,528428
2990,Norman Jewison,"Al Pacino, Jack Warden, John Forsythe, Lee Strasberg, Jeffrey Tambor",6000000,33300000
2991,Peter Chelsom,"Asa Butterfield, Britt Robertson, Carla Gugino, Gary Oldman, Janet Montgomery",30000000,14793385
2992,William Lau,"Kelly Sheridan, Ashleigh Ball, Kathleen Barr, Nicole Oliver, Nakia Burrise",,
2993,Walter Lang,"Deborah Kerr, Yul Brynner, Rita Moreno, Martin Benson, Terry Saunders",4550000,21300000
2994,Pier Paolo Pasolini,"Terence Stamp, Silvana Mangano, Massimo Girotti, Anne Wiazemsky, Andrés José Cruz Soublette",,
2995,Oliver Stone,"Woody Harrelson, Juliette Lewis, Robert Downey Jr., Tommy Lee Jones, Tom Sizemore",34000000,50283563
2996,Juan Carlos Fresnadillo,"Millie Bobby Brown, Ray Winstone, Angela Bassett, Brooke Carter, Nick Robinson",60000000,
2997,Rodo Sayagues,"Stephen Lang, Madelyn Grace, Brendan Sexton III, Adam Young, Rocci Williams",10000000,53800000
2998,Jean-Jacques Annaud,"Everett McGill, Ron Perlman, Nicholas Kadi, Rae Dawn Chong, Gary Schwartz",12000000,55260558
2999,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Arjun Rampal, Shreyas Talpade, Kirron Kher",9100000,37707444
3000,Steven Soderbergh,"Michael Douglas, Benicio del Toro, Catherine Zeta-Jones, Erika Christensen, Don Cheadle",48000000,207500000
3001,Dean Parisot,"Tim Allen, Sigourney Weaver, Alan Rickman, Tony Shalhoub, Sam Rockwell",45000000,90683916
3002,Andreas Prochaska,"Sam Riley, Tobias Moretti, Paula Beer, Thomas Schubert, Carmen Gratl",6875270,
3003,Castille Landon,"Josephine Langford, Hero Fiennes Tiffin, Louise Lombard, Chance Perdomo, Rob Estes",14000000,21800000
3004,Robert Eggers,"Alexander Skarsgård, Nicole Kidman, Claes Bang, Ethan Hawke, Anya Taylor-Joy",80000000,69633110
3005,Björn Runge,"Glenn Close, Jonathan Pryce, Christian Slater, Max Irons, Harry Lloyd",7000000,20000000
3006,Barry Levinson,"Al Pacino, Danny Huston, Susan Sarandon, John Goodman, Brenda Vaccaro",,
3007,Gus Van Sant,"Alex Frost, Eric Deulen, John Robinson, Elias McConnell, Jordan Taylor",3000000,10000000
3008,Anne Fontaine,"Lou de Laâge, Agata Buzek, Agata Kulesza, Vincent Macaigne, Joanna Kulig",,1063893
3009,Tony Goldwyn,"Hilary Swank, Sam Rockwell, Minnie Driver, Melissa Leo, Peter Gallagher",12500000,11826980
3010,Park Chan-wook,"Lim Soo-jung, Rain, Oh Dal-su, Lee Yeong-mi, Kim Chun-gi",,4354510
3011,Rodrigo Grande,"Leonardo Sbaraglia, Pablo Echarri, Clara Lago, Federico Luppi, Javier Godino",,
3012,Mikkel Nørgaard,"Nikolaj Lie Kaas, Fares Fares, Sonja Richter, Mikkel Boe Følsgaard, Søren Pilmark",5650000,13700000
3013,Jeff Nichols,"Matthew McConaughey, Reese Witherspoon, Tye Sheridan, Jacob Lofland, Sam Shepard",10000000,32613173
3014,Kris Pearn,"Will Forte, Maya Rudolph, Alessia Cara, Terry Crews, Martin Short",,
3015,Brian Helgeland,"Tom Hardy, Emily Browning, Christopher Eccleston, David Thewlis, Taron Egerton",25000000,42972994
3016,Christian Duguay,"Guillaume Canet, Marina Hands, Daniel Auteuil, Lou de Laâge, Tchéky Karyo",,
3017,Rian Johnson,"Daniel Craig, Edward Norton, Janelle Monáe, Kathryn Hahn, Leslie Odom Jr.",40000000,13280000
3018,Julia Ducournau,"Garance Marillier, Ella Rumpf, Rabah Nait Oufella, Laurent Lucas, Joana Preiss",3500000,4100000
3019,Luca Guadagnino,"Zendaya, Mike Faist, Josh O'Connor, Darnell Appling, Bryan Doo",55000000,94182533
3020,Dominic Cooke,"Benedict Cumberbatch, Merab Ninidze, Rachel Brosnahan, Jessie Buckley, Angus Wright",,26000000
3021,Tony Cervone,"Will Forte, Frank Welker, Mark Wahlberg, Jason Isaacs, Ken Jeong",90000000,28600000
3022,John Hillcoat,"Shia LaBeouf, Tom Hardy, Gary Oldman, Guy Pearce, Jason Clarke",26000000,55404207
3023,Charles Barton,"Bud Abbott, Lou Costello, Lon Chaney Jr., Bela Lugosi, Glenn Strange",800000,4812444
3024,Hideo Nakata,"Nanako Matsushima, Hiroyuki Sanada, Rikiya Ôtaka, Miki Nakatani, Yûko Takeuchi",1200000,19400000
3025,Gus Van Sant,"River Phoenix, Keanu Reeves, William Richert, Udo Kier, Chiara Caselli",2500000,6400000
3026,Luca Guadagnino,"Zendaya, Mike Faist, Josh O'Connor, Darnell Appling, Bryan Doo",55000000,94182533
3027,Paul Feig,"Sofia Wylie, Sophia Anne Caruso, Kerry Washington, Charlize Theron, Laurence Fishburne",,
3028,Matt Bettinelli-Olpin,"Samara Weaving, Adam Brody, Mark O'Brien, Henry Czerny, Andie MacDowell",6000000,57600000
3029,Joaquim Dos Santos,"George Newbern, Jerry O'Connell, Arnold Vosloo, Zach Callison, James Garner",,
3030,Daniel Alfredson,"Michael Nyqvist, Noomi Rapace, Lena Endre, Annika Hallin, Jacob Ericksson",4000000,43498108
3031,Allan Moyle,"Christian Slater, Samantha Mathis, Annie Ross, Scott Paulin, Mimi Kennedy",,11500000
3032,Tony Scott,"Tom Cruise, Kelly McGillis, Val Kilmer, Anthony Edwards, Tom Skerritt",15000000,356830601
3033,Aditya Dhar,"Vicky Kaushal, Paresh Rawal, Yami Gautam, Kirti Kulhari, Mohit Raina",,
3034,Henry Alex Rubin,"Jason Bateman, Hope Davis, Frank Grillo, Paula Patton, Max Thieriot",10000000,3428048
3035,Don Siegel,"Clint Eastwood, Geraldine Page, Elizabeth Hartman, Jo Ann Harris, Darleen Carr",475000,1100000
3036,Jason Reitman,"Elliot Page, Michael Cera, Jennifer Garner, Jason Bateman, J.K. Simmons",7500000,232372681
3037,Stuart Gordon,"Jeffrey Combs, Bruce Abbott, Barbara Crampton, David Gale, Robert Sampson",900000,2023414
3038,Joel Coen,"Nicolas Cage, Holly Hunter, Trey Wilson, John Goodman, William Forsythe",6000000,29180280
3039,Cal Brunker,"Mckenna Grace, Christian Convery, Taraji P. Henson, Kristen Bell, Lil Rel Howery",30000000,202231360
3040,Aleksey Tsitsilin,"Valery Smekalov, Irina Obrezkova, Alexey Makretsky, Regina Shchukina, Kseniya Brzhezovskaya",,
3041,Peter Berg,"Mark Wahlberg, John Goodman, J.K. Simmons, Kevin Bacon, Michelle Monaghan",45000000,50548152
3042,Woody Allen,"Danny Aiello, Jeff Daniels, Mia Farrow, Seth Green, Robert Joy",16000000,
3043,Toshiyuki Tsuru,"Junko Takeuchi, Chie Nakamura, Yōichi Masukawa, Kazuhiko Inoue, Akio Otsuka",,3200000
3044,Takashi Miike,"Shun Oguri, Kyosuke Yabe, Meisa Kuroki, Takayuki Yamada, Ken'ichi Endô",,22036607
3045,Irwin Winkler,"Kevin Kline, Hayden Christensen, Kristin Scott Thomas, Jena Malone, Mary Steenburgen",18000000,
3046,Gary Ross,"Tobey Maguire, David McCullough, Jeff Bridges, Chris Cooper, Elizabeth Banks",87000000,148300000
3047,Stuart Rosenberg,"Robert Redford, Yaphet Kotto, Jane Alexander, Murray Hamilton, David Keith",9000000,37121708
3048,Zack Snyder,"Sarah Polley, Ving Rhames, Jake Weber, Mekhi Phifer, Ty Burrell",26000000,102278712
3049,Lilly Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Jada Pinkett Smith",150000000,738599701
3050,Kasi Lemmons,"Naomi Ackie, Ashton Sanders, Stanley Tucci, Nafessa Williams, Lance A. Williams",50000000,59800000
3051,Kelly Reichardt,"John Magaro, Orion Lee, Toby Jones, Ewen Bremner, Scott Shepherd",,101068
3052,Michael Damian,"Keenan Kampa, Nicholas Galitzine, Sonoya Mizuno, Jane Seymour, Richard Southgate",,2093725
3053,Sean McNamara,"Pierce Brosnan, Kaya Scodelario, Benjamin Walker, William Hurt, Julie Andrews",40500000,2200000
3054,Michael Damian,"Katie McGrath, Sam Heughan, Miles Richardson, Charlotte Salt, Travis Turner",,
3055,Brett Ratner,"Jackie Chan, Chris Tucker, Tom Wilkinson, Philip Baker Hall, Elizabeth Peña",33000000,244721064
3056,Phil Joanou,"Thomas Jane, Ron Perlman, Sammi Rotibi, Karlin Walker, Jack Goldenberg",,
3057,Edward Zwick,"Jake Gyllenhaal, Anne Hathaway, Oliver Platt, Hank Azaria, Josh Gad",30000000,102800000
3058,Peter Weir,"Mel Gibson, Mark Lee, Bill Kerr, Harold Hopkins, Charles Lathalu Yunipingu",3000000,11700000
3059,Barry Sonnenfeld,"Raúl Juliá, Anjelica Huston, Christopher Lloyd, Christina Ricci, Carel Struycken",30000000,191502426
3060,Tim Burton,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter, Noah Taylor",150000000,475000000
3061,Alexandre Moratto,"Christian Malheiros, Rodrigo Santoro, Bruno Rocha, Lucas Oranmian, Vitor Julian",,
3062,Wes Anderson,"Benicio del Toro, Adrien Brody, Tilda Swinton, Léa Seydoux, Frances McDormand",25000000,46333545
3063,Richard Fleischer,"Kirk Douglas, Tony Curtis, Ernest Borgnine, Janet Leigh, James Donald",5000000,20311
3064,Peter Kosminsky,"Alison Lohman, Michelle Pfeiffer, Renée Zellweger, Robin Wright, Cole Hauser",16000000,21657770
3065,Burny Mattinson,"Barrie Ingham, Val Bettin, Vincent Price, Susanne Pollatschek, Candy Candido",14000000,38600000
3066,Michael Haneke,"Daniel Auteuil, Juliette Binoche, Annie Girardot, Bernard Le Coq, Daniel Duval",8731048,36000000
3067,Kunihiko Yuyama,"Rica Matsumoto, Ikue Otani, Megumi Hayashibara, Shin-ichiro Miki, Inuko Inuyama",,37552144
3068,Cameron Crowe,"John Cusack, Ione Skye, John Mahoney, Lili Taylor, Amy Brooks",16000000,20036737
3069,Barbara Białowąs,"Anna-Maria Sieklucka, Michele Morrone, Bronisław Wrocławski, Otar Saralidze, Magdalena Lamparska",,9458590
3070,Sam Liu,"Jerry O'Connell, Rebecca Romijn, Rainn Wilson, Cress Williams, Cameron Monaghan",,
3071,Gerard Barrett,"Chloë Grace Moretz, Thomas Mann, Richard Armitage, Carrie-Anne Moss, Jenny Slate",,
3072,Sam Peckinpah,"Warren Oates, Isela Vega, Robert Webber, Gig Young, Helmut Dantine",1500000,700000
3073,Billy Wilder,"Marilyn Monroe, Tom Ewell, Evelyn Keyes, Sonny Tufts, Robert Strauss",1800000,12000000
3074,Damien Chazelle,"Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler, Corey Stoll",70000000,105713218
3075,Yorgos Lanthimos,"Colin Farrell, Rachel Weisz, Olivia Colman, Léa Seydoux, Michael Smiley",4000000,15700000
3076,James Ponsoldt,"Jason Segel, Jesse Eisenberg, Mamie Gummer, Mickey Sumner, Johnny Otto",,3002884
3077,Robert Wise,"Arthur Hill, David Wayne, James Olson, Kate Reid, Paula Kelly",6500000,12376563
3078,Jean Girault,"Louis de Funès, Geneviève Grad, Michel Galabru, Daniel Cauchy, Maria Pacôme",,
3079,John Butler,"Fionn O'Shea, Nicholas Galitzine, Andrew Scott, Ardal O'Hanlon, Amy Huberman",1050000,
3080,Mikkel Nørgaard,"Nikolaj Lie Kaas, Fares Fares, Pilou Asbæk, David Dencik, Danica Ćurčić",5800000,11500000
3081,Norman Jewison,"Ted Neeley, Carl Anderson, Yvonne Elliman, Barry Dennen, Bob Bingham",3500000,24593103
3082,Jackie Chan,"Jackie Chan, Alan Tam, Lola Forner, Rosamund Kwan, Ken Boyle",15000000,16000000
3083,Shusuke Kaneko,"Tatsuya Fujiwara, Kenichi Matsuyama, Asaka Seto, Shigeki Hosokawa, Erika Toda",20000000,29667169
3084,Jean-Jacques Annaud,"Tchéky Karyo, Jack Wallace, André Lacombe, Bart the Bear, Youk the Bear",25000000,138241022
3085,Peter Avanzino,"Billy West, Katey Sagal, John DiMaggio, Tress MacNeille, Maurice LaMarche",,
3086,Todd Haynes,"Julianne Moore, Dennis Quaid, Dennis Haysbert, Patricia Clarkson, Viola Davis",13500000,29027914
3087,James Ivory,"Emma Thompson, Helena Bonham Carter, Anthony Hopkins, Samuel West, Vanessa Redgrave",8000000,26126837
3088,Kurt Wimmer,"Christian Bale, Taye Diggs, Angus Macfadyen, Matthew Harbour, Sean Bean",20000000,5400000
3089,Steven Spielberg,"Haley Joel Osment, Jude Law, Frances O'Connor, Sam Robards, Jake Thomas",100000000,235926552
3090,Alberto Rodríguez,"Raúl Arévalo, Javier Gutiérrez, Antonio de la Torre, Nerea Barros, Salva Reina",4000000,5169755
3091,Philippe de Broca,"Jean-Paul Belmondo, Jacqueline Bisset, Vittorio Caprioli, Hans Meyer, Monique Tarbès",,
3092,Hamilton Luske,"Ilene Woods, Eleanor Audley, Verna Felton, Claire Du Brey, Rhoda Williams",2900000,263600000
3093,Phil Joanou,"Dwayne Johnson, Xzibit, L. Scott Caldwell, Leon Rippy, Kevin Dunn",30000000,41500000
3094,George A. Romero,"Lori Cardille, Terry Alexander, Joseph Pilato, Jarlath Conroy, Anthony Dileo Jr.",3500000,34000000
3095,Andrew Dominik,"Brad Pitt, Casey Affleck, Sam Rockwell, Paul Schneider, Jeremy Renner",30000000,14711793
3096,Juho Kuosmanen,"Seidi Haarla, Yura Borisov, Dinara Drukarova, Yuliya Aug, Lidiya Kostina",2412000,
3097,Alexandre Lehmann,"Mark Duplass, Sarah Paulson, Clu Gulager, James Andrews, Harris Benbury",,21626
3098,Roman Polanski,"Nastassja Kinski, Peter Firth, Leigh Lawson, John Collin, Rosemary Martin",12000000,20101247
3099,Kenny Ortega,"Bette Midler, Sarah Jessica Parker, Kathy Najimy, Omri Katz, Thora Birch",28000000,51663767
3100,Tony Scott,"Will Smith, Gene Hackman, Jon Voight, Regina King, Loren Dean",90000000,250649836
3101,Sydney Sibilia,"Elio Germano, Matilda De Angelis, Fabrizio Bentivoglio, François Cluzet, Tom Wlaschiha",8000000,
3102,Simon Curtis,"Domhnall Gleeson, Will Tilston, Alex Lawther, Margot Robbie, Kelly Macdonald",,7299662
3103,Andrew Stanton,"Albert Brooks, Ellen DeGeneres, Ed O'Neill, Hayden Rolence, Diane Keaton",200000000,1028600000
3104,Dan Scanlon,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren, Peter Sohn",200000000,743600000
3105,Thomas Cailley,"Romain Duris, Paul Kircher, Adèle Exarchopoulos, Tom Mercier, Billie Blain",15200000,9138503
3106,Thomas Vinterberg,"Carey Mulligan, Matthias Schoenaerts, Michael Sheen, Tom Sturridge, Juno Temple",14500000,30300000
3107,John Woo,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola, Gina Gershon",80000000,245700000
3108,Pedro Almodóvar,"Javier Bardem, Francesca Neri, Liberto Rabal, Ángela Molina, José Sancho",,1535558
3109,Sam Levinson,"John David Washington, Zendaya",2500000,
3110,Shawn Levy,"Ryan Reynolds, Walker Scobell, Mark Ruffalo, Jennifer Garner, Zoe Saldaña",116000000,
3111,Lasse Hallström,"Tobey Maguire, Charlize Theron, Delroy Lindo, Paul Rudd, Michael Caine",24000000,88500000
3112,Richard Fleischer,"Kirk Douglas, James Mason, Paul Lukas, Peter Lorre, Robert J. Wilke",5000000,28200000
3113,Duncan Tucker,"Felicity Huffman, Kevin Zegers, Fionnula Flanagan, Burt Young, Carrie Preston",1000000,13350369
3114,Dmitry Kiselev,"Evgeny Mironov, Konstantin Khabenskiy, Vladimir Ilin, Anatoliy Kotenyov, Aleksandra Ursulyak",7075038,9868942
3115,Ethan Spaulding,"Jason O'Mara, Stuart Allan, Thomas Gibson, Morena Baccarin, Giancarlo Esposito",,
3116,John Lasseter,N/A,,
3117,Joe Talbot,"Jimmie Fails, Jonathan Majors, Rob Morgan, Tichina Arnold, Mike Epps",,2975184
3118,Steven Caple Jr.,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Wood Harris, Russell Hornsby",50000000,214200000
3119,Simon McQuoid,"Lewis Tan, Jessica McNamee, Ludi Lin, Mehcad Brooks, Josh Lawson",20000000,84426031
3120,Jeff Nichols,"Michael Shannon, Jessica Chastain, Shea Whigham, Tova Stewart, Katy Mixon",5000000,3741098
3121,Alejandro Agresti,"Keanu Reeves, Sandra Bullock, Christopher Plummer, Ebon Moss-Bachrach, Willeke van Ammelrooy",40000000,114830111
3122,Sylvain White,"Columbus Short, Meagan Good, Ne-Yo, Darrin Henson, Jermaine Williams",13000000,75511123
3123,Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen",110000000,407711549
3124,Joseph L. Mankiewicz,"Elizabeth Taylor, Richard Burton, Rex Harrison, Pamela Brown, George Cole",44000000,71000000
3125,Josef Rusnak,"Craig Bierko, Armin Mueller-Stahl, Gretchen Mol, Vincent D'Onofrio, Dennis Haysbert",16000000,18564088
3126,Kornél Mundruczó,"Vanessa Kirby, Shia LaBeouf, Ellen Burstyn, Sarah Snook, Iliza Shlesinger",,
3127,Scott Z. Burns,"Adam Driver, Annette Bening, Jon Hamm, Sarah Goldberg, Michael C. Hall",8000000,275000
3128,Roman Polanski,"Nastassja Kinski, Peter Firth, Leigh Lawson, John Collin, Rosemary Martin",12000000,20101247
3129,Matt Bettinelli-Olpin,"Melissa Barrera, Jenna Ortega, Jasmin Savoy Brown, Mason Gooding, Jack Champion",35000000,168961389
3130,Jennifer Yuh Nelson,"Amandla Stenberg, Harris Dickinson, Patrick Gibson, Skylan Brooks, Mandy Moore",34000000,41142379
3131,Don Siegel,"John Wayne, Lauren Bacall, Ron Howard, James Stewart, Richard Boone",,13400000
3132,Ng Yuen-fai,"Louis Koo, Sean Lau Ching-Wan, Carina Lau, Philip Keung Hiu-Man, Tse Kwan-Ho",,100730000
3133,Joel Edgerton,"Lucas Hedges, Nicole Kidman, Russell Crowe, Joel Edgerton, Joe Alwyn",15000000,7900000
3134,Jennifer Yuh Nelson,"Jack Black, Angelina Jolie, Dustin Hoffman, Gary Oldman, Jackie Chan",150000000,665692281
3135,Richard J. Lewis,"Paul Giamatti, Dustin Hoffman, Rosamund Pike, Minnie Driver, Scott Speedman",30000000,8454301
3136,Sam Liu,"Tim Daly, Kevin Conroy, Clancy Brown, LeVar Burton, Xander Berkeley",,
3137,Shusuke Kaneko,"Tatsuya Fujiwara, Takeshi Kaga, Shido Nakamura, Erika Toda, Shigeki Hosokawa",17000000,47919757
3138,Newt Arnold,"Jean-Claude Van Damme, Bolo Yeung, Donald Gibb, Leah Ayres, Norman Burton",1500000,65000000
3139,René Clair,"Barry Fitzgerald, Walter Huston, Louis Hayward, Roland Young, June Duprez",,1000000
3140,George Lucas,"Richard Dreyfuss, Ron Howard, Paul Le Mat, Charles Martin Smith, Cindy Williams",777000,140000000
3141,René Clair,"Barry Fitzgerald, Walter Huston, Louis Hayward, Roland Young, June Duprez",,1000000
3142,Robert Rodriguez,"George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis, Ernest Liu",19000000,25800000
