id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count
2896,Vacation Friends,Comedy,en,7.1,1,43,2021-08-27,758
2897,I Hate Summer,Comedy,it,7.1,1,45,2020-01-30,919
2898,Don't Look Up,"Comedy, Science Fiction, Drama",en,7.1,2,18,2021-12-08,8173
2899,Blue Is the Warmest Color,"Romance, Drama",fr,7.1,3,0,2013-10-09,4542
2900,Scooby-Doo and the Alien Invaders,"Animation, Family, Comedy, Mystery, Science Fiction",en,7.1,1,14,2000-10-03,359
2901,To Live and Die in L.A.,"Crime, Thriller, Action",en,7.1,1,56,1985-11-01,641
2902,Kingdom: Ashin of the North,"Drama, Fantasy, Thriller",ko,7.1,1,32,2021-07-23,534
2903,The Realm,"Thriller, Mystery, Drama",es,7.1,2,12,2018-09-28,426
2904,Love & Mercy,"Drama, Music, History",en,7.1,2,0,2015-05-29,660
2905,Concussion,Drama,en,7.1,2,3,2015-11-12,2519
2906,Trash,"Adventure, Crime, Drama, Thriller",en,7.1,1,52,2014-10-09,606
2907,High Heels,"Drama, Comedy, Crime",es,7.1,1,54,1991-10-23,404
2908,November,"Crime, Drama, Thriller",fr,7.1,1,45,2022-10-05,713
2909,Belfast,"Drama, History",en,7.1,1,38,2021-11-12,1475
2910,Immortal Beloved,"Drama, Music, Romance",en,7.1,2,1,1994-12-16,327
2911,The Poseidon Adventure,"Adventure, Drama, Thriller",en,7.1,1,57,1972-12-01,876
2912,Garden State,"Comedy, Drama, Romance",en,7.1,1,42,2004-07-28,1816
2913,Climax,"Horror, Drama",fr,7.1,1,37,2018-09-19,2064
2914,Triangle of Sadness,"Comedy, Drama",en,7.1,2,27,2022-09-18,2130
2915,The Nightingale,"Drama, Thriller, Western",en,7.1,2,16,2018-09-23,547
2916,127 Hours,"Adventure, Drama, Thriller",en,7.1,1,34,2010-11-12,7459
2917,The Producers,"Comedy, Music",en,7.1,1,28,1968-03-18,768
2918,Angst,"Thriller, Crime, Horror",de,7.1,1,15,1983-01-01,348
2919,if....,Drama,en,7.1,1,52,1968-12-19,359
2920,The Woman Next Door,"Drama, Romance",fr,7.1,1,46,1981-09-30,311
2921,The Great Race,"Comedy, Adventure",en,7.1,2,40,1965-07-01,312
2922,Rocky IV,Drama,en,7.1,1,31,1985-11-21,4378
2923,The Outfit,"Crime, Drama, Thriller, Mystery",en,7.1,1,45,2022-02-25,1094
2924,22 July,"Crime, Drama, History, Thriller",en,7.1,2,23,2018-10-04,1174
2925,Keith,"Drama, Romance",en,7.1,1,33,2008-09-13,438
2926,Searching for Bobby Fischer,Drama,en,7.1,1,50,1993-08-13,554
2927,A Tale of Two Sisters,"Drama, Horror, Mystery",ko,7.1,1,55,2003-06-13,1168
2928,Intolerance: Love's Struggle Throughout the Ages,"Drama, History",en,7.1,3,17,1916-09-04,331
2929,The Negotiator,"Action, Crime, Drama, Thriller",en,7.1,2,20,1998-07-29,2050
2930,School of Rock,"Comedy, Music",en,7.1,1,50,2003-10-03,5585
2931,The Phantom of the Opera,"Drama, Horror",en,7.1,1,47,1925-09-22,340
2932,Mean Streets,"Drama, Crime",en,7.1,1,51,1973-10-14,2058
2933,The Angry Birds Movie 2,"Animation, Action, Fantasy, Adventure, Comedy",en,7.1,1,37,2019-08-02,1687
2934,Fast X,"Action, Crime, Thriller",en,7.1,2,22,2023-05-17,5548
2935,Dope,"Crime, Drama, Comedy",en,7.1,1,43,2015-06-19,1456
2936,Breathe,Drama,fr,7.1,1,31,2014-11-12,459
2937,Pieta,Drama,ko,7.1,1,44,2012-09-05,371
2938,The Light Between Oceans,"Drama, Romance",en,7.1,2,13,2016-09-02,1335
2939,The Next Three Days,"Romance, Drama, Thriller, Crime",en,7.1,2,13,2010-11-18,2828
2940,I Confess,"Drama, Thriller, Crime",en,7.1,1,35,1953-02-13,436
2941,Ghost World,"Comedy, Drama",en,7.1,1,51,2001-07-20,1400
2942,The Lost Boys,"Horror, Comedy, Thriller",en,7.1,1,37,1987-07-31,2018
2943,Rakka,"Action, Science Fiction, Horror",en,7.1,0,22,2017-06-14,302
2944,The Accountant,"Crime, Thriller, Drama",en,7.1,2,8,2016-10-13,6096
2945,Reality,Comedy,fr,7.1,1,27,2015-02-18,503
2946,The Kid with a Bike,Drama,fr,7.1,1,27,2011-05-18,413
2947,"Good Night, and Good Luck.","Drama, History",en,7.1,1,32,2005-09-16,966
2948,Little Children,"Drama, Romance",en,7.1,2,17,2006-10-06,994
2949,Quo Vadis,"Drama, History, Romance",en,7.1,2,51,1951-11-08,399
2950,Hoosiers,"Drama, Family",en,7.1,1,54,1986-11-14,492
2951,Salyut-7,"Action, Drama, Adventure",ru,7.1,1,46,2017-09-22,452
2952,Kill Your Darlings,"Drama, Romance, Thriller",en,7.1,1,43,2013-10-16,1334
2953,Dirty Rotten Scoundrels,"Crime, Comedy",en,7.1,1,50,1988-12-14,855
2954,Lorenzo's Oil,Drama,en,7.1,2,15,1992-12-30,525
2955,Remember Sunday,"TV Movie, Romance, Drama",en,7.1,1,36,2013-04-21,491
2956,Ant-Man,"Science Fiction, Action, Adventure",en,7.1,1,57,2015-07-14,19642
2957,True Lies,"Action, Thriller",en,7.1,2,20,1994-07-15,4060
2958,Whale Rider,"Drama, Family",en,7.1,1,41,2003-01-30,390
2959,Bones and All,"Drama, Horror, Romance",en,7.1,2,11,2022-11-18,1322
2960,Batman: Death in the Family,"Animation, Action",en,7.1,0,31,2020-10-13,414
2961,Hotel Transylvania: Transformania,"Animation, Comedy, Family, Adventure, Fantasy",en,7.1,1,32,2022-01-31,2736
2962,An Officer and a Spy,"History, Drama, Thriller",fr,7.1,2,12,2019-09-30,1483
2963,F9,"Action, Adventure, Crime",en,7.1,2,23,2021-05-19,7168
2964,The Lovely Bones,"Fantasy, Drama",en,7.1,2,16,2009-12-26,4564
2965,The Getaway,"Action, Crime, Thriller",en,7.1,2,3,1972-12-13,550
2966,Drugstore Cowboy,"Drama, Crime",en,7.1,1,42,1989-10-20,530
2967,"The Legend of Al, John and Jack","Comedy, Crime",it,7.1,1,45,2002-12-13,1150
2968,SLC Punk,"Comedy, Drama, Crime, Music",en,7.1,1,37,1998-09-24,360
2969,M3GAN,"Science Fiction, Horror",en,7.1,1,42,2022-12-28,4006
2970,Phineas and Ferb The Movie: Across the 2nd Dimension,"Animation, Comedy, Family, TV Movie, Science Fiction, Adventure, Action",en,7.1,1,18,2011-08-05,544
2971,Ashes of Time,"Drama, Action",cn,7.1,1,40,1994-09-17,328
2972,WarGames,"Thriller, Science Fiction, Drama",en,7.1,1,54,1983-06-03,1853
2973,Starship Troopers,"Adventure, Action, Thriller, Science Fiction",en,7.1,2,9,1997-11-07,4863
2974,Terrifier 3,"Horror, Thriller, Mystery",en,7.1,2,5,2024-10-09,786
2975,The Leisure Seeker,"Drama, Romance, Adventure",en,7.1,1,52,2018-01-03,466
2976,Dogtooth,Drama,el,7.1,1,38,2009-10-22,2279
2977,The Hudsucker Proxy,Comedy,en,7.1,1,51,1994-03-11,1036
2978,Space Sweepers,"Drama, Fantasy, Science Fiction",ko,7.1,2,16,2021-02-05,1018
2979,The Barbarian Invasions,"Comedy, Drama",fr,7.1,1,39,2003-09-24,365
2980,Cross of Iron,"Drama, Action, History, War",en,7.1,2,12,1977-01-29,406
2981,Akeelah and the Bee,Drama,en,7.1,1,52,2006-04-28,320
2982,Easy Rider,"Adventure, Drama",en,7.1,1,35,1969-06-26,1940
2983,Crazy Rich Asians,"Comedy, Romance",en,7.1,2,1,2018-08-15,3599
2984,Sleep Tight,"Thriller, Horror",es,7.1,1,41,2011-10-14,1087
2985,Miracle,"Drama, History",en,7.1,2,15,2004-02-06,587
2986,Pirates of Silicon Valley,Drama,en,7.1,1,37,1999-05-10,527
2987,Escape from New York,"Science Fiction, Action",en,7.1,1,39,1981-05-23,3114
2988,From Russia with Love,"Action, Thriller, Adventure",en,7.1,1,55,1963-10-10,2949
2989,Contempt,"Drama, Romance",fr,7.1,1,43,1963-10-29,824
2990,...And Justice for All,Drama,en,7.1,1,59,1979-10-19,503
2991,The Space Between Us,"Romance, Adventure, Science Fiction, Drama",en,7.1,2,1,2017-01-26,2437
2992,Barbie in A Mermaid Tale 2,"Animation, Family",en,7.1,1,14,2012-02-22,447
2993,The King and I,"Music, Romance, History",en,7.1,2,13,1956-06-29,375
2994,Theorem,"Mystery, Drama",it,7.1,1,35,1968-09-07,397
2995,Natural Born Killers,"Crime, Thriller, Drama",en,7.1,1,58,1994-08-26,3373
2996,Damsel,"Fantasy, Action, Adventure",en,7.1,1,47,2024-03-07,2141
2997,Don't Breathe 2,"Thriller, Horror",en,7.1,1,38,2021-08-12,2542
2998,Quest for Fire,"Adventure, Drama",fr,7.1,1,40,1981-12-16,498
2999,Om Shanti Om,"Comedy, Thriller, Drama",hi,7.1,2,49,2007-11-07,350
3000,Traffic,"Thriller, Drama, Crime",en,7.1,2,27,2000-12-27,2135
3001,Galaxy Quest,"Comedy, Science Fiction, Adventure",en,7.1,1,41,1999-12-25,2213
3002,The Dark Valley,"Drama, Thriller",de,7.1,1,55,2014-02-13,372
3003,After We Fell,"Romance, Drama",en,7.1,1,39,2021-09-01,2561
3004,The Northman,"Action, Adventure, Fantasy",en,7.1,2,17,2022-04-07,4248
3005,The Wife,Drama,en,7.1,1,40,2018-08-02,1051
3006,You Don't Know Jack,"Drama, TV Movie",en,7.1,2,14,2010-06-27,380
3007,Elephant,"Crime, Drama",en,7.1,1,21,2003-09-20,1877
3008,The Innocents,"Drama, History",fr,7.1,1,55,2016-02-10,399
3009,Conviction,Drama,en,7.1,1,47,2010-10-15,586
3010,"I'm a Cyborg, but That's OK","Drama, Comedy, Romance",ko,7.1,1,45,2006-12-07,508
3011,At the End of the Tunnel,"Crime, Thriller",es,7.1,2,0,2016-04-21,392
3012,The Keeper of Lost Causes,"Thriller, Mystery, Crime",da,7.1,1,33,2013-10-03,732
3013,Mud,Drama,en,7.1,2,10,2013-04-26,2764
3014,The Willoughbys,"Animation, Comedy, Family",en,7.1,1,32,2020-04-22,899
3015,Legend,"Crime, Thriller",en,7.1,2,12,2015-09-09,3827
3016,Jappeloup,Drama,fr,7.1,2,10,2013-03-13,380
3017,Glass Onion: A Knives Out Mystery,"Comedy, Crime, Mystery",en,7.1,2,20,2022-11-23,5473
3018,Raw,"Drama, Horror",fr,7.1,1,39,2016-11-11,3169
3019,Challengers,"Romance, Drama",en,7.1,2,12,2024-04-18,1577
3020,The Courier,"Thriller, History, Drama",en,7.1,1,52,2020-01-24,1115
3021,Scoob!,"Animation, Comedy, Family, Mystery",en,7.1,1,33,2020-07-08,1684
3022,Lawless,"Crime, Drama, Western",en,7.1,1,55,2012-08-29,3035
3023,Bud Abbott and Lou Costello Meet Frankenstein,"Comedy, Horror",en,7.1,1,23,1948-06-15,300
3024,Ring,"Horror, Thriller",ja,7.1,1,36,1998-01-31,1425
3025,My Own Private Idaho,Drama,en,7.1,1,44,1991-02-01,1114
3026,Challengers,"Romance, Drama",en,7.1,2,12,2024-04-18,1577
3027,The School for Good and Evil,"Fantasy, Comedy, Adventure, Drama",en,7.1,2,29,2022-10-19,1226
3028,Ready or Not,"Horror, Comedy",en,7.1,1,35,2019-08-21,4381
3029,Superman/Shazam!: The Return of Black Adam,"Animation, Action",en,7.1,0,25,2010-11-16,1500
3030,The Girl Who Kicked the Hornet's Nest,"Action, Thriller, Crime, Mystery",sv,7.1,2,27,2009-11-27,1329
3031,Pump Up the Volume,"Music, Drama",en,7.1,1,45,1990-08-22,348
3032,Top Gun,"Action, Drama",en,7.1,1,50,1986-05-16,8522
3033,Uri: The Surgical Strike,"Action, Drama, War",hi,7.1,2,18,2019-01-11,422
3034,Disconnect,"Drama, Thriller",en,7.1,1,56,2013-04-12,1109
3035,The Beguiled,"Thriller, Drama, War",en,7.1,1,45,1971-01-23,437
3036,Juno,"Comedy, Drama, Romance",en,7.1,1,36,2007-12-05,7111
3037,Re-Animator,"Science Fiction, Comedy, Horror",en,7.1,1,26,1985-10-18,1455
3038,Raising Arizona,"Comedy, Crime",en,7.1,1,34,1987-03-13,2065
3039,PAW Patrol: The Mighty Movie,"Animation, Family, Action, Science Fiction, Comedy, Drama, Adventure",en,7.1,1,32,2023-09-21,447
3040,Secret Magic Control Agency,"Animation, Comedy, Fantasy",ru,7.1,1,44,2021-03-18,357
3041,Patriots Day,"Action, Crime, Drama, History, Thriller",en,7.1,2,13,2016-12-12,2584
3042,Radio Days,Comedy,en,7.1,1,30,1987-01-30,562
3043,Naruto the Movie: Guardians of the Crescent Moon Kingdom,"Adventure, Animation, Action",ja,7.1,1,35,2006-08-05,437
3044,Crows Zero,"Action, Comedy, Crime",ja,7.1,2,10,2007-10-26,341
3045,Life as a House,Drama,en,7.1,2,5,2001-10-25,396
3046,Seabiscuit,"Drama, History",en,7.1,2,21,2003-07-22,817
3047,Brubaker,"Crime, Drama",en,7.1,2,5,1980-06-20,455
3048,Dawn of the Dead,"Action, Horror, Drama, Science Fiction",en,7.1,1,41,2004-03-19,3975
3049,The Matrix Reloaded,"Adventure, Action, Thriller, Science Fiction",en,7.1,2,18,2003-05-15,10897
3050,Whitney Houston: I Wanna Dance with Somebody,"Music, History, Drama",en,7.1,2,24,2022-12-20,425
3051,First Cow,"Drama, Western",en,7.1,2,2,2020-03-06,466
3052,High Strung,"Music, Romance, Drama",en,7.1,1,36,2016-04-08,903
3053,The King's Daughter,"Fantasy, Adventure, Family",en,7.1,1,34,2022-01-21,676
3054,A Princess for Christmas,"Comedy, Family, TV Movie, Romance, Drama",en,7.1,1,31,2011-12-03,393
3055,Rush Hour,"Action, Comedy, Crime",en,7.1,1,38,1998-09-18,4898
3056,The Punisher: Dirty Laundry,"Drama, Action, Thriller",en,7.1,0,11,2012-07-16,336
3057,Love & Other Drugs,"Drama, Comedy, Romance",en,7.1,1,52,2010-11-04,5088
3058,Gallipoli,"War, History, Drama",en,7.1,1,52,1981-08-13,470
3059,The Addams Family,"Comedy, Fantasy",en,7.1,1,40,1991-11-22,4535
3060,Charlie and the Chocolate Factory,"Adventure, Comedy, Family, Fantasy",en,7.1,1,55,2005-07-13,15084
3061,7 Prisoners,"Drama, Crime",pt,7,1,33,2021-10-22,340
3062,The French Dispatch,"Drama, Comedy",en,7,1,48,2021-10-21,2555
3063,The Vikings,"Adventure, History, Action",en,7.1,1,55,1958-06-11,312
3064,White Oleander,Drama,en,7,1,49,2002-10-11,371
3065,The Great Mouse Detective,"Animation, Family, Adventure, Mystery",en,7,1,14,1986-07-02,1631
3066,Caché,"Mystery, Drama, Thriller",fr,7.1,1,57,2005-10-05,1085
3067,Pokémon the Movie: I Choose You!,"Family, Animation, Adventure, Fantasy",ja,7,1,38,2017-07-15,619
3068,Say Anything...,"Romance, Comedy, Drama",en,7,1,40,1989-04-14,979
3069,365 Days,"Romance, Drama",pl,7,1,56,2020-02-07,8949
3070,Reign of the Supermen,"Science Fiction, Animation, Action",en,7,1,27,2019-01-13,624
3071,Brain on Fire,Drama,en,7,1,28,2017-02-22,1354
3072,Bring Me the Head of Alfredo Garcia,"Action, Crime, Drama",en,7,1,53,1974-08-01,355
3073,The Seven Year Itch,"Comedy, Romance",en,7,1,44,1955-06-03,881
3074,First Man,"History, Drama",en,7,2,21,2018-10-10,5208
3075,The Lobster,"Comedy, Drama, Romance",en,7,1,59,2015-10-15,6169
3076,The End of the Tour,Drama,en,7,1,46,2015-07-31,545
3077,The Andromeda Strain,"Science Fiction, Thriller",en,7,2,11,1971-03-12,687
3078,Le Gendarme de Saint-Tropez,Comedy,fr,7,1,29,1964-09-08,847
3079,Handsome Devil,"Drama, Comedy",en,7,1,35,2017-02-15,662
3080,The Absent One,Thriller,da,7,1,56,2014-10-02,615
3081,Jesus Christ Superstar,"Music, Drama",en,7,1,48,1973-08-15,542
3082,Armour of God,"Adventure, Action, Comedy",cn,7,1,37,1986-08-16,544
3083,Death Note,"Fantasy, Mystery, Thriller",ja,7,2,6,2006-06-17,694
3084,The Bear,"Adventure, Drama, Family",fr,7,1,34,1988-10-21,470
3085,Futurama: Into the Wild Green Yonder,"Animation, Comedy, Science Fiction, TV Movie",en,7,1,30,2009-02-23,532
3086,Far from Heaven,"Drama, Romance",en,7,1,47,2002-11-08,598
3087,Howards End,"Drama, Romance",en,7,2,22,1992-03-13,519
3088,Equilibrium,"Action, Science Fiction, Thriller",en,7,1,47,2002-12-06,4478
3089,A.I. Artificial Intelligence,"Drama, Science Fiction, Adventure",en,7,2,26,2001-06-29,6101
3090,Marshland,"Crime, Mystery, Thriller",es,7,1,44,2014-09-25,947
3091,The Magnificent One,"Comedy, Romance, Action, Adventure",fr,7,1,35,1973-11-23,341
3092,Cinderella,"Family, Fantasy, Animation, Romance",en,7,1,14,1950-02-22,6667
3093,Gridiron Gang,"Crime, Drama",en,7,2,5,2006-09-15,978
3094,Day of the Dead,"Horror, Drama, Mystery",en,7,1,41,1985-07-03,1211
3095,The Assassination of Jesse James by the Coward Robert Ford,"Drama, Western",en,7,2,39,2007-09-20,2463
3096,Compartment No. 6,Drama,fi,7,1,46,2021-10-29,376
3097,Blue Jay,"Drama, Romance",en,7,1,21,2016-10-07,475
3098,Tess,"Drama, Romance",en,7,2,51,1979-10-06,331
3099,Hocus Pocus,"Fantasy, Comedy, Family",en,7,1,36,1993-07-16,3001
3100,Enemy of the State,"Action, Drama, Thriller",en,7,2,12,1998-11-20,3780
3101,Rose Island,"Comedy, Adventure",it,7,2,0,2020-12-09,1289
3102,Goodbye Christopher Robin,"Family, History, Drama",en,7,1,47,2017-09-29,822
3103,Finding Dory,"Adventure, Animation, Comedy, Family",en,7,1,37,2016-06-16,11969
3104,Monsters University,"Animation, Family",en,7,1,44,2013-06-19,10567
3105,The Animal Kingdom,"Adventure, Drama, Science Fiction, Horror",fr,7,2,7,2023-10-04,684
3106,Far from the Madding Crowd,"Drama, Romance",en,7,1,59,2015-04-23,1020
3107,Face/Off,"Action, Crime, Science Fiction",en,7,2,19,1997-06-27,5260
3108,Live Flesh,"Drama, Romance, Thriller",es,7,1,43,1997-10-10,659
3109,Malcolm & Marie,"Drama, Romance",en,7,1,46,2021-01-29,1370
3110,The Adam Project,"Adventure, Science Fiction",en,7,1,46,2022-03-11,4297
3111,The Cider House Rules,Drama,en,7,2,6,1999-12-17,1146
3112,"20,000 Leagues Under the Sea","Adventure, Science Fiction, Family",en,7,2,7,1954-12-23,874
3113,Transamerica,"Drama, Adventure, Comedy",en,7,1,43,2005-02-14,462
3114,The Spacewalker,"Adventure, Drama, History, Thriller",ru,7,2,20,2017-04-06,307
3115,Son of Batman,"Animation, Action, Adventure",en,7,1,14,2014-05-13,1044
3116,Luxo Jr.,"Animation, Comedy",en,7,0,2,1986-08-17,612
3117,The Last Black Man in San Francisco,Drama,en,7,2,1,2019-06-07,317
3118,Creed II,"Drama, Action",en,7,2,10,2018-11-21,5386
3119,Mortal Kombat,"Action, Fantasy, Adventure",en,7,1,50,2021-04-07,5791
3120,Take Shelter,"Thriller, Drama, Horror",en,7,2,0,2011-09-30,1737
3121,The Lake House,"Drama, Mystery, Romance",en,7,1,39,2006-06-16,2707
3122,Stomp the Yard,"Drama, Music",en,7,1,54,2007-05-16,449
3123,X2,"Adventure, Action, Science Fiction",en,7,2,13,2003-04-27,10046
3124,Cleopatra,"Drama, History, Romance",en,7,4,11,1963-06-12,740
3125,The Thirteenth Floor,"Thriller, Science Fiction, Mystery",en,7,1,41,1999-04-16,1297
3126,Pieces of a Woman,Drama,en,7,2,7,2020-12-30,1201
3127,The Report,Drama,en,7,1,59,2019-09-12,1014
3128,Tess,"Drama, Romance",en,7,2,51,1979-10-06,331
3129,Scream VI,"Horror, Crime, Thriller",en,7,2,3,2023-03-08,2592
3130,The Darkest Minds,"Action, Adventure, Drama",en,7,1,45,2018-07-25,2788
3131,The Shootist,Western,en,7,1,40,1976-07-21,340
3132,Warriors of Future,"Drama, Action, Science Fiction",zh,7,1,41,2022-08-05,404
3133,Boy Erased,Drama,en,7,1,55,2018-09-24,1375
3134,Kung Fu Panda 2,"Animation, Family, Comedy",en,7,1,31,2011-05-25,7116
3135,Barney's Version,"Comedy, Drama",en,7,2,14,2010-10-26,445
3136,Superman/Batman: Public Enemies,"Science Fiction, Animation, Action, Adventure",en,7,1,7,2009-09-29,632
3137,Death Note: The Last Name,"Fantasy, Thriller, Mystery",ja,7,2,20,2006-10-28,486
3138,Bloodsport,"Action, Thriller",en,7,1,32,1988-02-26,1835
3139,And Then There Were None,"Crime, Drama, Mystery",en,7,1,38,1945-10-31,359
3140,American Graffiti,"Comedy, Drama",en,7,1,50,1973-08-11,1409
3141,And Then There Were None,"Crime, Drama, Mystery",en,7,1,38,1945-10-31,359
3142,From Dusk Till Dawn,"Horror, Action, Thriller, Crime",en,7,1,48,1996-01-19,5870
3143,SPY x FAMILY CODE: White,"Animation, Comedy, Adventure, Action",ja,7,1,50,2023-12-22,446
3144,The Invisibles,"Comedy, Drama",fr,7,1,42,2019-01-09,362
3145,The Killing of a Sacred Deer,"Drama, Thriller, Mystery",en,7,2,1,2017-10-20,3942
3146,The Postman Always Rings Twice,"Drama, Romance, Crime, Thriller",en,7,1,53,1946-05-02,330
3147,Gunfight at the O.K. Corral,Western,en,7,2,2,1957-05-30,331
3148,The Birdcage,Comedy,en,7,1,59,1996-03-08,1129
3149,The Three Burials of Melquiades Estrada,"Adventure, Crime, Drama, Mystery, Western",en,7,2,1,2005-11-17,576
3150,Pieces of a Woman,Drama,en,7,2,7,2020-12-30,1201
3151,Never Back Down: No Surrender,"Drama, Action",en,7,1,41,2016-06-05,460
3152,Fright Night,"Comedy, Horror",en,7,1,47,1985-08-02,1358
3153,A River Runs Through It,"Drama, Family",en,7,2,3,1992-10-09,1061
3154,Holidate,"Comedy, Romance",en,7,1,44,2020-10-27,2152
3155,Real Steel,"Action, Science Fiction, Drama",en,7,2,7,2011-09-28,8256
3156,The Last Detail,"Drama, Comedy",en,7,1,44,1973-12-11,354
3157,Bedknobs and Broomsticks,"Adventure, Fantasy, Comedy, Family, Music, Animation",en,7,1,57,1971-10-07,946
3158,Booksmart,Comedy,en,7,1,42,2019-05-24,2594
3159,A Fantastic Woman,Drama,es,7,1,44,2017-04-06,681
3160,Starstruck,"Romance, Comedy, TV Movie, Music",en,7,1,21,2010-02-14,1178
3161,Point Blank,"Crime, Thriller",en,7,1,31,1967-08-30,375
3162,The Duke,"Comedy, Drama, History",en,7,1,36,2021-07-23,309
3163,AINBO: Spirit of the Amazon,"Adventure, Animation, Family, Fantasy",en,7,1,24,2021-02-09,430
3164,Vice,"Comedy, Drama",en,7,2,12,2018-12-25,3308
3165,Chasing Mavericks,Drama,en,7,1,57,2012-10-25,554
3166,Thirteen Days,"History, Thriller",en,7,2,25,2000-12-25,734
3167,Emma.,"Comedy, Romance",en,7,2,5,2020-02-13,1718
3168,Eye in the Sky,"Drama, Thriller, War",en,7,1,42,2015-09-07,1547
3169,The SpongeBob SquarePants Movie,"Family, Animation, Comedy, Fantasy, Adventure",en,7,1,27,2004-11-19,2863
3170,One Night in Miami...,Drama,en,7,1,54,2020-12-25,635
3171,Nerve,"Mystery, Adventure, Crime",en,7,1,36,2016-06-27,6755
3172,In the Loop,Comedy,en,7,1,46,2009-01-22,666
3173,The Rainmaker,"Drama, Crime, Thriller",en,7,2,15,1997-11-18,1270
3174,Ladyhawke,"Adventure, Comedy, Fantasy",en,7,2,1,1985-03-27,1125
3175,Soul Surfer,"Family, Drama",en,7,1,52,2011-04-08,1174
3176,Ghajini,"Action, Romance, Thriller",hi,7,3,6,2008-12-25,391
3177,Amistad,"Drama, History, Mystery",en,7,2,35,1997-12-10,1275
3178,Red Dragon,"Crime, Thriller, Horror",en,7,2,4,2002-10-02,4223
3179,A Good Person,"Drama, Comedy",en,7,2,8,2023-03-23,338
3180,Brave,"Animation, Adventure, Comedy, Family, Action, Fantasy",en,7,1,33,2012-06-21,13299
3181,Knick Knack,"Animation, Family, Comedy",en,7,0,4,1989-11-23,557
3182,Before the Fall,Drama,de,7,1,57,2004-07-04,312
3183,The Enforcer,"Action, Crime, Drama",en,7,1,31,2022-09-22,389
3184,Chicken Run: Dawn of the Nugget,"Family, Animation, Adventure, Comedy",en,7,1,41,2023-12-08,726
3185,Mary Shelley,"Romance, Drama",en,7,2,0,2017-08-06,978
3186,Radiofreccia,"Drama, Music",it,7,1,52,1998-10-16,335
3187,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"Comedy, Crime",en,7,1,29,1996-01-12,1307
3188,22 vs. Earth,"Family, Comedy, Fantasy, Animation",en,7,0,9,2021-04-30,449
3189,Love in the Afternoon,"Comedy, Romance",en,7,2,10,1957-05-29,300
3190,Groot's First Steps,"Animation, Family, Comedy, Science Fiction",en,7,0,6,2022-08-10,338
3191,The House,"Animation, Drama, Comedy, Horror, Fantasy",en,7,1,37,2022-01-14,1013
3192,A Fall from Grace,"Drama, Thriller, Mystery",en,7,2,0,2020-01-17,917
3193,Ip Man 3,"Action, Drama, History",cn,7,1,45,2015-12-24,1720
3194,Wild,Drama,en,7,1,55,2014-12-05,2458
3195,High Sierra,"Crime, Drama",en,7,1,40,1941-01-23,312
3196,The Proposition,"Action, Adventure, Crime, Drama, Thriller, Western",en,7,1,44,2005-10-06,622
3197,Meet Me in St. Louis,"Comedy, Drama, Romance, Family",en,7,1,54,1944-11-28,365
3198,Rebel Ridge,"Crime, Action, Thriller, Drama",en,7,2,12,2024-08-27,935
3199,Martin Eden,"Romance, Drama",it,7,2,9,2019-09-04,652
3200,Husbands and Wives,"Comedy, Drama, Romance",en,7,1,48,1992-09-18,444
3201,The Dead Zone,"Thriller, Horror, Science Fiction",en,7,1,43,1983-10-21,1611
3202,The Great Train Robbery,"Crime, Action, Western, Adventure",en,7,0,12,1903-12-07,610
3203,The Gods Must Be Crazy II,"Action, Comedy",en,7,1,38,1989-07-01,470
3204,The Lover,"Drama, Romance",fr,7,1,55,1992-01-22,671
3205,Inland Empire,"Thriller, Mystery, Fantasy, Horror",en,7,3,0,2006-12-06,1067
3206,Arlington Road,"Crime, Drama, Thriller, Mystery",en,7,1,57,1999-03-19,1069
3207,Truman,"Drama, Comedy",es,7,1,45,2015-09-24,364
3208,Le Havre,"Drama, Comedy",fr,7,1,34,2011-09-08,419
3209,Lone Star,"Drama, Mystery, Romance",en,7,2,15,1996-06-21,351
3210,The Accused,"Crime, Drama",en,7,1,51,1988-10-14,590
3211,Atlantis: The Lost Empire,"Animation, Family, Adventure, Science Fiction",en,7,1,35,2001-06-02,4707
3212,Salvador,"Drama, War, Thriller",en,7,2,3,1986-04-23,345
3213,Willow,"Fantasy, Adventure, Action",en,7,2,6,1988-05-20,1906
3214,Suck Me Shakespeer,Comedy,de,7,1,59,2013-11-07,1642
3215,Lethal Weapon 2,"Action, Adventure, Comedy, Crime, Thriller",en,7,1,54,1989-07-07,3339
3216,"Extremely Wicked, Shockingly Evil and Vile","Drama, Crime",en,7,1,51,2019-05-02,3317
3217,Batman: Bad Blood,"Science Fiction, Action, Animation",en,7,1,12,2016-01-19,893
3218,The Legendary Giulia and Other Miracles,Comedy,it,7,1,55,2015-02-19,501
3219,Don't Breathe,"Horror, Thriller",en,7,1,29,2016-06-08,7373
3220,The Way Back,"Drama, Adventure, History",en,7,2,13,2010-11-22,1551
3221,Benny & Joon,"Comedy, Drama",en,7,1,38,1993-04-16,747
3222,The Invisible Witness,"Thriller, Mystery",it,7,1,43,2018-12-13,320
3223,My Neighbors the Yamadas,"Animation, Comedy, Family",ja,7,1,44,1999-07-17,523
3224,Bad Lieutenant,"Crime, Drama",en,7,1,36,1992-11-20,848
3225,Double Trouble,"Action, Comedy",it,7,1,40,1984-10-19,511
